FEATURE_ID,SVDATE,RES_PEDEST,RES_BRIDGE,RES_TUNNEL,RES_STEPS,RES_LIFT,BOROUGH,PHOTO1_URL,PHOTO2_URL,geometry,res_length_m
RWG290167,2018-03-23,1,0,0,0,0,Barking & Dagenham,https://cycleassetimages.data.tfl.gov.uk/RWG290167_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG290167_2.jpg,"list(c(0.1666848016, 0.1668420888, 51.5436304371, 51.5436290687))",10.8781491878727
RWG290169,2018-03-23,1,1,0,1,0,Barking & Dagenham,https://cycleassetimages.data.tfl.gov.uk/RWG290169_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG290169_2.jpg,"list(c(0.1793041942, 0.1792950523, 0.1794355125, 0.1793666391, 0.1792311762, 0.1792138869, 51.5462666885, 51.5462849857, 51.5463083624, 51.5464670097, 51.5464425158, 51.5464801213))",44.561849345746
RWG150588,2017-09-15,1,0,0,0,0,Waltham Forest,https://cycleassetimages.data.tfl.gov.uk/RWG150588_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG150588_2.jpg,"list(c(0.0066126761, 0.0067431682, 51.62747495, 51.6276513818))",21.587348028063
RWG150691,2017-10-04,1,1,0,1,0,Waltham Forest,https://cycleassetimages.data.tfl.gov.uk/RWG150691_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG150691_2.jpg,"list(c(-0.0583014511, -0.058541525, 51.5731699407, 51.5731568669))",16.6549300178405
RWG290164,2018-03-22,1,0,0,0,0,Barking & Dagenham,https://cycleassetimages.data.tfl.gov.uk/RWG290164_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG290164_2.jpg,"list(c(0.076103981, 0.0760164107, 0.0759521055, 0.0759159519, 51.5360583343, 51.5360322291, 51.5359965863, 51.5359576144))",17.6770873837278
RWG276596,2018-02-13,1,1,0,1,0,Waltham Forest,https://cycleassetimages.data.tfl.gov.uk/RWG276596_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG276596_2.jpg,"list(c(-0.0317405416, -0.0316317877, -0.0307383142, -0.0306058206, 51.5634078441, 51.5633381212, 51.5640567112, 51.5639948409))",123.243350312735
RWG276597,2018-02-13,1,0,1,0,0,Waltham Forest,https://cycleassetimages.data.tfl.gov.uk/RWG276597_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG276597_2.jpg,"list(c(-0.0413820263, -0.0413105517, -0.0413014189, 51.5640724002, 51.5639965231, 51.5639713694))",12.6445862274245
RWG150586,2017-09-15,1,0,0,0,0,Waltham Forest,https://cycleassetimages.data.tfl.gov.uk/RWG150586_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG150586_2.jpg,"list(c(0.0103083028, 0.0104245297, 51.6331208772, 51.6330650434))",10.143652878543
RWG150587,2017-09-15,1,0,0,0,0,Waltham Forest,https://cycleassetimages.data.tfl.gov.uk/RWG150587_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG150587_2.jpg,"list(c(0.0124249404, 0.012481052, 51.6290803516, 51.6289897156))",10.79686937031
RWG221340,2017-10-18,1,0,0,0,0,Redbridge,https://cycleassetimages.data.tfl.gov.uk/RWG221340_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG221340_2.jpg,"list(c(0.0530132105, 0.0532415434, 51.5761642916, 51.5761720969))",15.8027579113632
