FEATURE_ID,SVDATE,ASL_FDR,ASL_FDRLFT,ASL_FDCENT,ASL_FDRIGH,ASL_SHARED,ASL_COLOUR,BOROUGH,PHOTO1_URL,PHOTO2_URL,geometry
RWG184268,2017-10-25,0,0,0,0,0,GREEN,Greenwich,https://cycleassetimages.data.tfl.gov.uk/RWG184268_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG184268_2.jpg,"c(0.0752678735, 0.0752232333, 51.4617863234, 51.4618223631)"
RWG184241,2017-11-08,1,1,0,0,0,GREEN,Greenwich,https://cycleassetimages.data.tfl.gov.uk/RWG184241_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG184241_2.jpg,"c(-0.0005406962, -0.0004884206, 51.4835306557, 51.4835449922)"
RWG184287,2017-11-05,0,0,0,0,0,NONE,Greenwich,https://cycleassetimages.data.tfl.gov.uk/RWG184287_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG184287_2.jpg,"c(0.0670585312, 0.0670111759, 51.489959267, 51.4900085767)"
RWG184290,2017-11-07,0,0,0,0,0,NONE,Barking & Dagenham,https://cycleassetimages.data.tfl.gov.uk/RWG184290_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG184290_2.jpg,"c(0.1232965588, 0.1233814328, 51.5268922962, 51.5268764216)"
RWG184291,2017-11-07,0,0,0,0,0,NONE,Barking & Dagenham,https://cycleassetimages.data.tfl.gov.uk/RWG184291_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG184291_2.jpg,"c(0.1240677483, 0.1239362148, 51.5266850099, 51.5267080079)"
RWG290339,2018-04-05,0,0,0,0,0,NONE,Barking & Dagenham,https://cycleassetimages.data.tfl.gov.uk/RWG290339_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG290339_2.jpg,"c(0.0954582666, 0.0953999425, 51.5250745831, 51.5250626148)"
RWG199038,2017-11-16,1,1,0,0,0,NONE,Lewisham,https://cycleassetimages.data.tfl.gov.uk/RWG199038_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG199038_2.jpg,"c(-0.0526826803, -0.052682321, 51.4731324856, 51.4730857741)"
RWG199039,2017-11-17,1,1,0,0,0,GREEN,Lewisham,https://cycleassetimages.data.tfl.gov.uk/RWG199039_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG199039_2.jpg,"c(-0.0511173854, -0.0511473218, 51.4776010091, 51.4775702261)"
RWG199040,2017-11-17,1,1,0,0,0,GREEN,Lewisham,https://cycleassetimages.data.tfl.gov.uk/RWG199040_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG199040_2.jpg,"c(-0.0417769965, -0.0417288774, 51.4746340928, 51.4746511566)"
RWG199043,2017-11-18,1,1,0,0,0,NONE,Lewisham,https://cycleassetimages.data.tfl.gov.uk/RWG199043_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG199043_2.jpg,"c(-0.0134236408, -0.0133572357, 51.4646154656, 51.4646095827)"
RWG290117,2018-03-21,1,1,0,0,0,NONE,Redbridge,https://cycleassetimages.data.tfl.gov.uk/RWG290117_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG290117_2.jpg,"c(0.0926085177, 0.0926065165, 51.5505362343, 51.5505744575)"
RWG290121,2018-03-28,1,1,0,0,0,GREEN,Redbridge,https://cycleassetimages.data.tfl.gov.uk/RWG290121_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG290121_2.jpg,"c(0.0704438657, 0.0703760746, 51.5583437368, 51.5583268957)"
RWG205286,2017-12-01,0,0,0,0,0,NONE,Lewisham,https://cycleassetimages.data.tfl.gov.uk/RWG205286_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG205286_2.jpg,"c(-0.0540220704, -0.0540188279, 51.4388984605, 51.4389344034)"
RWG184242,2017-11-08,1,1,0,0,0,NONE,Greenwich,https://cycleassetimages.data.tfl.gov.uk/RWG184242_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG184242_2.jpg,"c(-0.0003076444, -0.0002846977, 51.4837073216, 51.483675191)"
