FEATURE_ID,SVDATE,ASL_FDR,ASL_FDRLFT,ASL_FDCENT,ASL_FDRIGH,ASL_SHARED,ASL_COLOUR,BOROUGH,PHOTO1_URL,PHOTO2_URL,geometry,asl_length_m
RWG065668,2017-06-27,1,1,0,0,0,GREEN,City of London,https://cycleassetimages.data.tfl.gov.uk/RWG065668_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG065668_2.jpg,"c(-0.0989141358, -0.0988551189, 51.5156397855, 51.5156442035)",4.11322370158944
RWG073099,2017-07-05,1,1,0,0,0,NONE,Tower Hamlets,https://cycleassetimages.data.tfl.gov.uk/RWG073099_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG073099_2.jpg,"c(-0.0348381479, -0.0348734968, 51.5247340944, 51.524798927)",7.61257690175038
RWG082732,2017-10-06,0,0,0,0,0,NONE,Southwark,https://cycleassetimages.data.tfl.gov.uk/RWG082732_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG082732_2.jpg,"c(-0.0881467936, -0.0881532544, 51.5062761148, 51.5062500152)",2.93639440294488
RWG088975,2017-08-06,0,0,0,0,0,NONE,Wandsworth,https://cycleassetimages.data.tfl.gov.uk/RWG088975_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG088975_2.jpg,"c(-0.203176685, -0.2031073778, 51.4567420182, 51.4567394404)",4.81058406169056
RWG088973,2017-08-05,1,1,0,0,0,GREEN,Wandsworth,https://cycleassetimages.data.tfl.gov.uk/RWG088973_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG088973_2.jpg,"c(-0.1929037964, -0.1929184866, 51.456597789, 51.4566357607)",4.34321544480069
RWG042421,2017-07-11,0,0,0,0,0,NONE,Hammersmith & Fulham,https://cycleassetimages.data.tfl.gov.uk/RWG042421_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG042421_2.jpg,"c(-0.1959258753, -0.1958677068, 51.4801225976, 51.4801073281)",4.3714240994062
RWG065627,2017-06-26,1,1,0,0,0,GREEN,Tower Hamlets,https://cycleassetimages.data.tfl.gov.uk/RWG065627_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG065627_2.jpg,"c(-0.0609838783, -0.0609741447, 51.511206529, 51.5111663955)",4.51319947181358
RWG088917,2017-07-31,1,1,0,0,0,NONE,Wandsworth,https://cycleassetimages.data.tfl.gov.uk/RWG088917_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG088917_2.jpg,"c(-0.2431077044, -0.2431291727, 51.455329017, 51.4552817564)",5.461615444229
RWG089141,2017-08-03,1,1,0,0,0,GREEN,Wandsworth,https://cycleassetimages.data.tfl.gov.uk/RWG089141_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG089141_2.jpg,"c(-0.2189829521, -0.2189656718, 51.4568029963, 51.4568472416)",5.06344943791464
RWG089140,2017-08-03,1,1,0,0,0,NONE,Wandsworth,https://cycleassetimages.data.tfl.gov.uk/RWG089140_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG089140_2.jpg,"c(-0.241231898, -0.2412041278, 51.4497569089, 51.4498004731)",5.21237159225381
RWG089135,2017-08-01,1,1,0,0,0,GREEN,Wandsworth,https://cycleassetimages.data.tfl.gov.uk/RWG089135_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG089135_2.jpg,"c(-0.189653468, -0.1896634693, 51.4566550893, 51.456693337)",4.309040145445
RWG082569,2017-07-27,0,0,0,0,0,NONE,Southwark,https://cycleassetimages.data.tfl.gov.uk/RWG082569_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG082569_2.jpg,"c(-0.0891811724, -0.0892357811, 51.5050787443, 51.5051002652)",4.47348779909562
RWG073115,2017-07-08,0,0,0,0,0,GREEN,Hackney,https://cycleassetimages.data.tfl.gov.uk/RWG073115_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG073115_2.jpg,"c(-0.0696026788, -0.0696018042, 51.5312214462, 51.5311854607)",4.00186864015692
RWG073117,2017-07-08,0,0,0,0,0,GREEN,Hackney,https://cycleassetimages.data.tfl.gov.uk/RWG073117_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG073117_2.jpg,"c(-0.0699916383, -0.0699327944, 51.5310616118, 51.5310640478)",4.07943473099908
