id,lat,lon,location,date,time,borough,mode,year
704888,51.515441,0.201324,Wennington Road 21 metres west of junction with Unknown,2018-06-22,19:05:00,Havering, PedalCycle,2018
362691,51.515447,-0.140755,On Oxford Street London Near The Junction With Great Portland Str,2019-09-03,08:35:00,Westminster, PedalCycle,2019
718294,51.51546,-0.148393,On Welbeck Street Near The Junction With Henrietta Street,2019-01-18,10:50:00,Westminster, PedalCycle,2019
729676,51.515518,-0.140737,On Oxford Street Near The Junction With Great Portland Street,2019-07-13,18:55:00,Westminster, PedalCycle,2019
666667,51.515537,-0.119362,Wild Court junction with Kingsway,2017-05-28,14:00:00,Camden, PedalCycle,2017
719073,51.515543,-0.166319,On Porchester Place Near The Junction With Norfolk Crescent,2019-01-31,21:20:00,Westminster, PedalCycle,2019
696558,51.515558,-0.07079,Whitechapel High Street junction with Commercial Road,2018-10-25,18:33:00,Tower Hamlets, PedalCycle,2018
730892,51.515559,-0.142162,On Regent Street 34 metres south of The Junction With Great Castl,2019-07-31,08:49:00,Westminster, PedalCycle,2019
666083,51.515576,-0.138674,Oxford Street junction with Winsley Street,2017-11-25,17:07:00,Westminster, PedalCycle,2017
666997,51.515588,-0.128152,Saint Giles High Street 21 metres east of junction with Earnshaw Street,2017-09-12,08:30:00,Camden, PedalCycle,2017
321170,51.515589,-0.139538,Great Titchfield Street junction with Oxford Street,2018-06-18,18:44:00,Westminster, PedalCycle,2018
305436,51.515589,-0.208863,Ladbroke Grove 20 metres south of junction with Cornwall Crescent,2017-10-30,05:55:00,Kensington & Chelsea, PedalCycle,2017
364132,51.515627,-0.070614,On Whitechapel High Street Near The Junction With Commercial Road,2019-10-02,14:15:00,Tower Hamlets, PedalCycle,2019
321274,51.515652,-0.137806,Poland Street junction with Oxford Street,2018-07-11,20:43:00,Westminster, PedalCycle,2018
665378,51.515659,-0.138238,Oxford Street 25 metres east of junction with Winsley Street,2017-06-30,22:35:00,Westminster, PedalCycle,2017
298755,51.515669,-0.072083,Commercial Street 25 metres north of junction with Whitechapel High Street,2017-10-02,13:50:00,Tower Hamlets, PedalCycle,2017
371022,51.515679,-0.104699,Farringdon Street (A201) - 34 metres From Junction With Bear Alle,2019-10-10,11:03:00,City of London, PedalCycle,2019
371140,51.515679,-0.104684,Farringdon Street (A201) - 34 metres From Junction With Bear Alle,2019-12-17,20:58:00,City of London, PedalCycle,2019
298504,51.515685,-0.062137,New Road junction with Varden Street,2017-07-07,06:26:00,Tower Hamlets, PedalCycle,2017
706366,51.515704,0.060187,Woolwich Manor Way junction with Tollgate Road,2018-09-12,06:27:00,Newham, PedalCycle,2018
320891,51.515705,-0.18133,Gloucester Terrace 64 metres south of junction with Cleveland Terrace,2018-04-07,14:15:00,Westminster, PedalCycle,2018
353129,51.515721,-0.175377,Praed Street junction with London Street,2019-04-25,19:30:00,Westminster, PedalCycle,2019
353948,51.515732,-0.205831,On Blenheim Crescent Near The Junction With Blenheim Crescent,2019-05-09,16:30:00,Kensington & Chelsea, PedalCycle,2019
360279,51.515736,-0.135785,On Wardour Street 25 metres south of The Junction With Oxford Str,2019-08-07,18:43:00,Westminster, PedalCycle,2019
696523,51.515741,-0.060117,Varden Street 25 metres south of junction with Varden Street,2018-10-15,18:00:00,Tower Hamlets, PedalCycle,2018
371105,51.515748,-0.084028,Old Broad Street Near Junction With Great Winchester Street,2019-05-10,05:45:00,City of London, PedalCycle,2019
370892,51.515749,-0.094592,Wood Street At Junction With Gresham Street,2019-01-31,20:00:00,City of London, PedalCycle,2019
370843,51.515758,-0.094606,Wood Street At Junction With Gresham Street,2019-01-03,19:00:00,City of London, PedalCycle,2019
320383,51.515768,-0.100184,Newgate Street (A40) - 30 metres From Junction With Warwick Lane,2018-07-28,12:40:00,City of London, PedalCycle,2018
706333,51.515769,0.018146,Fife Road junction with Edwin Street,2018-08-31,18:45:00,Newham, PedalCycle,2018
