FEATURE_ID,SVDATE,RST_STEPS,RST_LIFT,BOROUGH,PHOTO1_URL,PHOTO2_URL,geometry
RWG291127,2018-03-20,1,0,Ealing,https://cycleassetimages.data.tfl.gov.uk/RWG291127_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG291127_2.jpg,"c(-0.3425933478, 51.5032489507)"
RWG233458,2018-01-03,1,0,Ealing,https://cycleassetimages.data.tfl.gov.uk/RWG233458_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG233458_2.jpg,"c(-0.2983361421, 51.5030671661)"
RWG233463,2018-02-13,1,0,Ealing,https://cycleassetimages.data.tfl.gov.uk/RWG233463_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG233463_2.jpg,"c(-0.3380234561, 51.5006238646)"
RWG233479,2018-02-19,1,0,Ealing,https://cycleassetimages.data.tfl.gov.uk/RWG233479_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG233479_2.jpg,"c(-0.3219580827, 51.524850783)"
RWG292097,2018-04-24,1,0,Ealing,https://cycleassetimages.data.tfl.gov.uk/RWG292097_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG292097_2.jpg,"c(-0.3786454536, 51.5428236801)"
RWG292098,2018-04-24,1,0,Ealing,https://cycleassetimages.data.tfl.gov.uk/RWG292098_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG292098_2.jpg,"c(-0.3662581791, 51.5396839786)"
RWG233456,2018-01-03,1,0,Ealing,https://cycleassetimages.data.tfl.gov.uk/RWG233456_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG233456_2.jpg,"c(-0.2980312189, 51.5030852366)"
RWG233455,2018-01-03,1,0,Ealing,https://cycleassetimages.data.tfl.gov.uk/RWG233455_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG233455_2.jpg,"c(-0.2979414197, 51.5031109287)"
RWG261273,2018-03-07,1,0,Ealing,https://cycleassetimages.data.tfl.gov.uk/RWG261273_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG261273_2.jpg,"c(-0.325233303, 51.5421473642)"
RWG282084,2018-03-06,1,0,Barnet,https://cycleassetimages.data.tfl.gov.uk/RWG282084_1.jpg,https://cycleassetimages.data.tfl.gov.uk/no_asset_photo.png,"c(-0.226931042, 51.5966083465)"
RWG282072,2018-02-05,1,0,Barnet,https://cycleassetimages.data.tfl.gov.uk/RWG282072_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG282072_2.jpg,"c(-0.2090115945, 51.6534921163)"
RWG233457,2018-01-03,1,0,Ealing,https://cycleassetimages.data.tfl.gov.uk/RWG233457_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG233457_2.jpg,"c(-0.2982498572, 51.5030893834)"
RWG291129,2018-03-29,1,0,Ealing,https://cycleassetimages.data.tfl.gov.uk/RWG291129_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG291129_2.jpg,"c(-0.3359320969, 51.5018652611)"
RWG282073,2018-02-18,1,0,Haringey,https://cycleassetimages.data.tfl.gov.uk/RWG282073_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG282073_2.jpg,"c(-0.1266705408, 51.5747547741)"
RWG292811,2018-04-10,1,0,Barnet,https://cycleassetimages.data.tfl.gov.uk/RWG292811_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG292811_2.jpg,"c(-0.2836497495, 51.6226991458)"
RWG292816,2018-05-21,1,0,Barnet,https://cycleassetimages.data.tfl.gov.uk/RWG292816_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG292816_2.jpg,"c(-0.2774400839, 51.6211838791)"
RWG282090,2018-03-26,1,0,Haringey,https://cycleassetimages.data.tfl.gov.uk/no_asset_photo.png,https://cycleassetimages.data.tfl.gov.uk/RWG282090_2.jpg,"c(-0.0833371031, 51.5770447773)"
RWG282079,2018-02-27,1,0,Haringey,https://cycleassetimages.data.tfl.gov.uk/RWG282079_1.jpg,https://cycleassetimages.data.tfl.gov.uk/no_asset_photo.png,"c(-0.1272422603, 51.5748640262)"
RWG282078,2018-02-23,1,0,Haringey,https://cycleassetimages.data.tfl.gov.uk/RWG282078_1.jpg,https://cycleassetimages.data.tfl.gov.uk/no_asset_photo.png,"c(-0.0567151672, 51.596423317)"
RWG292091,2018-04-04,1,0,Ealing,https://cycleassetimages.data.tfl.gov.uk/RWG292091_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG292091_2.jpg,"c(-0.418033027, 51.5398901825)"
RWG292092,2018-04-06,1,0,Ealing,https://cycleassetimages.data.tfl.gov.uk/RWG292092_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG292092_2.jpg,"c(-0.3432135222, 51.5084749691)"
RWG292095,2018-04-24,1,0,Ealing,https://cycleassetimages.data.tfl.gov.uk/RWG292095_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG292095_2.jpg,"c(-0.37745697, 51.5433992528)"
RWG282076,2018-02-23,1,0,Haringey,https://cycleassetimages.data.tfl.gov.uk/RWG282076_1.jpg,https://cycleassetimages.data.tfl.gov.uk/no_asset_photo.png,"c(-0.0558184987, 51.5962549848)"
RWG282077,2018-02-23,1,0,Haringey,https://cycleassetimages.data.tfl.gov.uk/RWG282077_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG282077_2.jpg,"c(-0.0558913998, 51.5961902148)"
RWG282094,2018-03-26,1,0,Haringey,https://cycleassetimages.data.tfl.gov.uk/RWG282094_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG282094_2.jpg,"c(-0.130786857, 51.6052083072)"
RWG999280,2018-06-04,1,0,Haringey,https://cycleassetimages.data.tfl.gov.uk/RWG999280_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG999280_2.jpg,"c(-0.1073959262, 51.5989778541)"
RWG282097,2018-03-27,1,0,Barnet,https://cycleassetimages.data.tfl.gov.uk/RWG282097_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG282097_2.jpg,"c(-0.2419215374, 51.6409723407)"
RWG282096,2018-03-27,1,0,Barnet,https://cycleassetimages.data.tfl.gov.uk/no_asset_photo.png,https://cycleassetimages.data.tfl.gov.uk/RWG282096_2.jpg,"c(-0.1908142537, 51.6495717876)"
RWG261272,2018-01-15,1,0,Harrow,https://cycleassetimages.data.tfl.gov.uk/RWG261272_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG261272_2.jpg,"c(-0.3727868497, 51.6126933119)"
